World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
135Top 0.7%,Baylor College of Medicine,USA,55,103,-,164,130,80.7
136Top 0.7%,University of Barcelona,Spain,2,229,657,-,71,80.6
137Top 0.7%,University of Freiburg,Germany,9,99,234,102,187,80.6
138Top 0.7%,Xi'an Jiaotong University,China,11,-,164,-,93,80.6
139Top 0.7%,University of Bern,Switzerland,6,164,1025,160,127,80.5
140Top 0.7%,Wuhan University,China,12,-,331,-,77,80.5
141Top 0.7%,University of Liverpool,United Kingdom,13,158,491,101,159,80.5
142Top 0.7%,Tianjin University,China,13,-,112,-,112,80.4
143Top 0.7%,Yonsei University,South Korea,2,-,79,,133,80.4
144Top 0.7%,University of Colorado Denver | Anschutz Medical Campus,USA,56,-,-,98,144,80.4
145Top 0.7%,Institute of Science Tokyo,Japan,6,354,113,76,227,80.3
146Top 0.7%,Xiamen University,China,14,-,61,-,161,80.3
147Top 0.7%,University of Nottingham,United Kingdom,14,194,573,113,156,80.3
148Top 0.7%,KTH Royal Institute of Technology,Sweden,4,234,47,192,243,80.3
149Top 0.7%,University of Strasbourg,France,7,123,1336,51,230,80.2
150Top 0.7%,Case Western Reserve University,USA,57,67,326,185,179,80.2
151Top 0.8%,University of Western Australia,Australia,7,248,522,183,134,80.2
152Top 0.8%,Goethe University Frankfurt,Germany,10,196,788,52,223,80.1
153Top 0.8%,Stockholm University,Sweden,5,173,246,96,192,80.1
154Top 0.8%,Sichuan University,China,15,-,1057,-,83,80.1
155Top 0.8%,Korea University,South Korea,3,-,65,-,170,80.0
156Top 0.8%,Tel Aviv University,Israel,3,353,119,-,128,80.0
157Top 0.8%,Harbin Institute of Technology,China,16,-,533,-,92,80.0
158Top 0.8%,Tohoku University,Japan,7,137,139,158,198,80.0
159Top 0.8%,VU Amsterdam,Netherlands,6,-,1349,-,88,79.9
160Top 0.8%,University of Iowa,USA,58,101,258,188,175,79.9
161Top 0.8%,University of Hong Kong,China,17,-,243,-,105,79.9
162Top 0.8%,Central South University,China,18,-,276,-,102,79.9
163Top 0.8%,Queen Mary University of London,United Kingdom,15,132,764,147,172,79.8
164Top 0.8%,Grenoble Alpes University,France,8,283,1073,252,120,79.8
165Top 0.8%,Michigan State University,USA,59,161,193,-,125,79.8
166Top 0.8%,University of Sheffield,United Kingdom,16,204,659,153,162,79.7
167Top 0.8%,Tongji University,China,19,-,180,-,124,79.7
168Top 0.8%,Shandong University,China,20,-,1098,-,97,79.7
169Top 0.8%,Aix-Marseille University,France,9,451,871,-,98,79.7
170Top 0.8%,Cardiff University,United Kingdom,17,408,323,92,209,79.6
171Top 0.8%,South China University of Technology,China,21,-,229,-,119,79.6
172Top 0.9%,Radboud University,Netherlands,7,488,669,290,108,79.6
173Top 0.9%,Newcastle University,United Kingdom,18,506,628,94,197,79.6
174Top 0.9%,Icahn School of Medicine at Mount Sinai,USA,60,-,-,-,101,79.5
175Top 0.9%,University of Gothenburg,Sweden,6,470,510,150,181,79.5
176Top 0.9%,Chinese University of Hong Kong,China,22,448,1202,258,129,79.5
177Top 0.9%,University of Montpellier,France,10,481,1290,-,113,79.5
178Top 0.9%,University of Padova,Italy,2,497,1556,-,118,79.4
179Top 0.9%,University of Massachusetts Amherst,USA,61,520,301,81,241,79.4
180Top 0.9%,Rice University,USA,62,75,136,124,294,79.4
181Top 0.9%,Southeast University,China,23,-,768,-,123,79.4
182Top 0.9%,Norwegian University of Science and Technology,Norway,2,257,526,67,252,79.3
183Top 0.9%,Tufts University,USA,63,97,76,166,299,79.3
184Top 0.9%,University of Warwick,United Kingdom,19,443,187,235,180,79.3
185Top 0.9%,Western University,Canada,6,428,69,-,216,79.3
186Top 0.9%,McMaster University,Canada,7,244,896,238,155,79.2
187Top 0.9%,University of Hamburg,Germany,11,249,557,-,131,79.2
188Top 0.9%,Technion – Israel Institute of Technology,Israel,4,87,454,80,291,79.2
189Top 0.9%,Nankai University,China,24,-,128,-,166,79.2
190Top 0.9%,University of Cologne,Germany,12,323,192,186,203,79.1
191Top 0.9%,University of Milan,Italy,3,486,550,-,136,79.1
192Top 0.9%,University of Alabama at Birmingham,USA,64,-,1138,207,169,79.1
193Top 0.9%,Wageningen University & Research,Netherlands,8,265,791,211,177,79.1
194Top 1%,Jilin University,China,25,-,366,-,141,79.0
195Top 1%,Sungkyunkwan University,South Korea,4,-,275,-,148,79.0
196Top 1%,Arizona State University,USA,65,457,574,271,158,79.0
197Top 1%,University of Lausanne,Switzerland,7,264,720,141,215,79.0
198Top 1%,Brandeis University,USA,66,24,251,50,722,78.9
199Top 1%,University of Vienna,Austria,1,144,529,125,239,78.9
200Top 1%,Iowa State University,USA,67,332,122,155,259,78.9
201Top 1%,Hong Kong University of Science and Technology,China,26,-,605,140,219,78.9
202Top 1%,University of Calgary,Canada,8,-,303,-,154,78.9
203Top 1%,Hong Kong Polytechnic University,China,27,-,354,-,149,78.8
204Top 1%,University of Bologna,Italy,4,-,826,-,142,78.8
205Top 1%,University of Notre Dame,USA,68,308,38,-,341,78.8
206Top 1%,Technical University of Denmark,Denmark,3,211,886,194,200,78.8
207Top 1%,University of Connecticut,USA,69,407,394,112,245,78.7
208Top 1%,London School of Hygiene & Tropical Medicine,United Kingdom,20,237,-,128,234,78.7
209Top 1%,North Carolina State University,USA,70,381,452,178,213,78.7
210Top 1%,"Soochow University, China",China,28,-,-,-,147,78.7
211Top 1%,University of Waterloo,Canada,9,-,238,225,212,78.7
212Top 1%,Beihang University,China,29,-,843,-,151,78.6
213Top 1%,University of Adelaide,Australia,8,189,965,-,160,78.6
214Top 1%,Zhengzhou University,China,30,-,1220,,152,78.6
215Top 1.1%,Stony Brook University,USA,71,193,-,149,233,78.6
216Top 1.1%,University of Miami,USA,72,-,219,218,220,78.5
217Top 1.1%,City University of Hong Kong,China,31,-,1070,-,157,78.5
