World Rank,Institution,Location,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score
383Top 1.8%,Kyung Hee University,South Korea,7,-,926,-,352,75.8
384Top 1.8%,Linköping University,Sweden,8,-,667,-,356,75.8
385Top 1.8%,University of Wollongong,Australia,15,-,711,-,358,75.8
386Top 1.8%,Xidian University,China,60,342,1027,-,359,75.8
387Top 1.9%,University of Belgrade,Serbia,1,510,-,-,354,75.7
388Top 1.9%,Jiangsu University,China,61,-,1152,-,355,75.7
389Top 1.9%,Southern Methodist University,USA,110,195,34,-,752,75.7
390Top 1.9%,Nanjing University of Aeronautics and Astronautics,China,62,-,1201,-,357,75.7
391Top 1.9%,Jiangnan University,China,63,-,1550,-,362,75.7
392Top 1.9%,Chalmers University of Technology,Sweden,9,539,250,-,386,75.7
393Top 1.9%,University of St Andrews,United Kingdom,32,314,986,234,416,75.7
394Top 1.9%,University of Turku,Finland,3,-,1684,-,364,75.7
395Top 1.9%,Jagiellonian University,Poland,1,-,-,-,365,75.6
396Top 1.9%,University of Dundee,United Kingdom,33,526,1066,139,493,75.6
397Top 1.9%,Hannover Medical School,Germany,27,-,-,280,376,75.6
398Top 1.9%,Technical University of Catalonia (UPC),Spain,8,-,627,-,370,75.6
399Top 1.9%,Albert Einstein College of Medicine,USA,111,-,-,-,366,75.6
400Top 1.9%,Technical University of Berlin,Germany,28,185,609,-,380,75.6
401Top 1.9%,University of Parma,Italy,14,311,1117,99,540,75.6
402Top 1.9%,University of Otago,New Zealand,2,-,991,-,368,75.6
403Top 1.9%,University of Newcastle,Australia,16,-,1213,-,367,75.5
404Top 1.9%,Fuzhou University,China,64,-,834,-,373,75.5
405Top 1.9%,Simon Fraser University,Canada,15,-,1123,-,372,75.5
406Top 1.9%,National Cheng Kung University,Taiwan,3,-,161,-,425,75.5
407Top 1.9%,Pohang University of Science and Technology,South Korea,8,-,-,-,374,75.5
408Top 2%,University of Ulsan,South Korea,9,-,731,-,375,75.5
409Top 2%,University of Buenos Aires,Argentina,1,299,1506,-,379,75.5
410Top 2%,Catholic University of the Sacred Heart,Italy,15,-,1392,-,378,75.5
411Top 2%,University of Malaya,Malaysia,1,-,701,-,382,75.4
412Top 2%,Qingdao University,China,65,-,-,-,381,75.4
413Top 2%,University of Marburg,Germany,29,169,1495,189,489,75.4
414Top 2%,University of Seville,Spain,9,-,1734,-,385,75.4
415Top 2%,Pontifical Catholic University of Chile,Chile,1,558,226,-,417,75.4
416Top 2%,University Paris-Est Créteil,France,21,-,1040,-,387,75.4
417Top 2%,City College of New York,USA,112,22,536,-,906,75.4
418Top 2%,University of Saskatchewan,Canada,16,301,543,-,401,75.4
419Top 2%,Vita-Salute San Raffaele University,Italy,16,-,-,-,390,75.3
420Top 2%,Medical University of South Carolina,USA,113,-,-,-,391,75.3
421Top 2%,Guangdong University of Technology,China,66,-,1483,-,392,75.3
422Top 2%,University of Tasmania,Australia,17,-,-,-,394,75.3
423Top 2%,International Institute for Management Development,Switzerland,8,-,10,-,-,75.3
424Top 2%,RMIT University,Australia,18,-,1038,-,396,75.3
425Top 2%,Justus Liebig University Giessen,Germany,30,-,-,-,397,75.3
426Top 2%,Nanjing Tech University,China,67,-,1395,-,398,75.3
427Top 2%,University of Warsaw,Poland,2,521,681,-,402,75.2
428Top 2%,Indian Institute of Management Ahmedabad,India,1,378,11,-,-,75.2
429Top 2%,Southwest University,China,68,505,1536,-,400,75.2
430Top 2.1%,University of Côte d'Azur,France,22,-,-,-,403,75.2
431Top 2.1%,University of Innsbruck,Austria,3,483,815,261,437,75.2
432Top 2.1%,Pompeu Fabra University,Spain,10,-,1069,-,404,75.2
433Top 2.1%,China University of Geosciences (Wuhan),China,69,-,656,-,408,75.2
434Top 2.1%,University of Perugia,Italy,17,-,-,-,405,75.2
435Top 2.1%,Nanjing University of Information Science and Technology,China,70,-,-,-,407,75.2
436Top 2.1%,Vrije Universiteit Brussel,Belgium,7,498,1049,-,409,75.1
437Top 2.1%,Tampere University,Finland,4,-,633,-,413,75.1
438Top 2.1%,Swedish University of Agricultural Sciences,Sweden,10,285,1238,-,415,75.1
439Top 2.1%,University of Victoria,Canada,17,-,1278,-,410,75.1
440Top 2.1%,University of Ljubljana,Slovenia,1,-,-,-,412,75.1
441Top 2.1%,Kyungpook National University,South Korea,10,-,989,-,414,75.1
442Top 2.1%,Pusan National University,South Korea,11,-,270,-,447,75.1
443Top 2.1%,Tulane University,USA,114,216,297,-,458,75.1
444Top 2.1%,University of Bath,United Kingdom,34,-,588,285,435,75.1
445Top 2.1%,Aristotle University of Thessaloniki,Greece,2,-,1498,-,418,75.0
446Top 2.1%,University of Bari,Italy,18,-,1489,-,419,75.0
447Top 2.1%,Institut Agro,France,23,-,-,-,420,75.0
448Top 2.1%,University of Regensburg,Germany,31,-,1072,-,422,75.0
449Top 2.1%,University of Coimbra,Portugal,3,441,1418,-,424,75.0
450Top 2.1%,Thomas Jefferson University,USA,115,-,-,-,423,75.0
451Top 2.2%,Nanchang University,China,71,-,1034,-,426,75.0
452Top 2.2%,Zhejiang University of Technology,China,72,-,1085,,427,75.0
453Top 2.2%,University of Chile,Chile,2,-,719,-,429,74.9
454Top 2.2%,São Paulo State University,Brazil,4,-,-,-,428,74.9
455Top 2.2%,"City St George's, University of London",United Kingdom,35,550,643,-,431,74.9
456Top 2.2%,University of Texas at Dallas,USA,116,396,714,-,432,74.9
457Top 2.2%,University of Surrey,United Kingdom,36,222,483,-,456,74.9
458Top 2.2%,Stellenbosch University,South Africa,3,-,257,-,465,74.9
459Top 2.2%,University of Oregon,USA,117,170,1665,-,453,74.9
460Top 2.2%,La Trobe University,Australia,19,-,1104,-,430,74.9
461Top 2.2%,National Tsing Hua University,Taiwan,4,402,1350,-,433,74.9
462Top 2.2%,Chulalongkorn University,Thailand,1,-,105,-,547,74.8
463Top 2.2%,University of Twente,Netherlands,12,-,1189,-,434,74.8
464Top 2.2%,University of Oulu,Finland,5,-,640,-,441,74.8
465Top 2.2%,North China Electric Power University,China,73,-,322,-,462,74.8
466Top 2.2%,University of Macau,China,74,-,745,-,440,74.8
467Top 2.2%,University of Mississippi,USA,118,-,-,-,436,74.8
468Top 2.2%,Stockholm School of Economics,Sweden,11,-,18,277,-,74.8
469Top 2.2%,Southwest Jiaotong University,China,75,-,832,-,444,74.8
470Top 2.2%,Hefei University of Technology,China,76,-,879,-,443,74.8
471Top 2.2%,Beijing Jiaotong University,China,77,-,1379,-,439,74.7
472Top 2.2%,Yangzhou University,China,78,-,1727,-,438,74.7
473Top 2.3%,Vienna University of Technology,Austria,4,344,521,-,457,74.7
474Top 2.3%,Kobe University,Japan,12,145,395,-,481,74.7
475Top 2.3%,Beijing University of Technology,China,79,-,1648,-,442,74.7
476Top 2.3%,Federal University of Rio Grande do Sul,Brazil,5,-,1364,-,445,74.7
477Top 2.3%,University of Navarra,Spain,11,-,123,264,581,74.7
478Top 2.3%,University of Tehran,Iran,2,460,-,-,449,74.7
479Top 2.3%,"University at Albany, SUNY",USA,119,184,709,214,548,74.7
480Top 2.3%,University of Trento,Italy,19,-,-,-,448,74.7
481Top 2.3%,Ulsan National Institute of Science and Technology,South Korea,12,-,-,-,450,74.6
482Top 2.3%,Ocean University of China,China,80,-,1532,-,451,74.6
483Top 2.3%,Hiroshima University,Japan,13,-,868,-,452,74.6
484Top 2.3%,Saint Louis University,USA,120,-,409,194,562,74.6
485Top 2.3%,Chonnam National University,South Korea,13,-,1231,-,455,74.6
486Top 2.3%,University of Clermont Auvergne,France,24,-,-,-,454,74.6
487Top 2.3%,Western Sydney University,Australia,20,-,1390,-,459,74.6
488Top 2.3%,University of Central Florida,USA,121,-,918,-,460,74.6
489Top 2.3%,Renmin University of China,China,81,-,78,-,625,74.6
490Top 2.3%,York University,Canada,18,-,321,,477,74.5
491Top 2.3%,Texas Tech University,USA,122,-,562,-,467,74.5
492Top 2.3%,Nanjing Normal University,China,82,-,961,-,464,74.5
493Top 2.3%,Medical College of Wisconsin,USA,123,-,-,-,463,74.5
494Top 2.4%,George Mason University,USA,124,-,1580,246,517,74.5
495Top 2.4%,University of Texas Health Science Center at San Antonio,USA,125,-,-,-,468,74.5
496Top 2.4%,University of Louisville,USA,126,-,902,-,470,74.5
497Top 2.4%,Federal University of Minas Gerais,Brazil,6,-,501,-,480,74.5
498Top 2.4%,University of Alabama - Tuscaloosa,USA,127,434,221,-,513,74.5
499Top 2.4%,Swinburne University of Technology,Australia,21,-,-,-,469,74.4
500Top 2.4%,University of Santiago de Compostela,Spain,12,-,940,-,473,74.4
501Top 2.4%,Amherst College,USA,128,25,45,-,-,74.4
502Top 2.4%,National Research Center «Kurchatov Institute»,Russia,4,-,-,-,471,74.4
503Top 2.4%,Martin Luther University Halle-Wittenberg,Germany,32,453,-,268,505,74.4
504Top 2.4%,University of Vermont,USA,129,-,487,-,482,74.4
505Top 2.4%,University of KwaZulu-Natal,South Africa,4,515,362,-,495,74.4
506Top 2.4%,University of Eastern Finland,Finland,6,-,-,-,472,74.4
507Top 2.4%,Syracuse University,USA,130,182,143,-,582,74.4
508Top 2.4%,Eötvös Loránd University,Hungary,1,187,-,245,555,74.4
509Top 2.4%,"China Medical University, Taiwan",Taiwan,5,-,-,-,474,74.3
510Top 2.4%,Savoie Mont Blanc University,France,25,-,-,-,475,74.3
511Top 2.4%,University of Trieste,Italy,20,-,1054,-,478,74.3
512Top 2.4%,Florida International University,USA,131,-,1528,-,476,74.3
513Top 2.4%,University of Potsdam,Germany,33,-,-,-,479,74.3
514Top 2.4%,University of Strathclyde,United Kingdom,37,-,410,-,497,74.3
515Top 2.4%,University of Guelph,Canada,19,458,1065,-,484,74.3
516Top 2.5%,University of Zagreb,Croatia,1,-,1396,-,483,74.3
517Top 2.5%,Cairo University,Egypt,1,-,1035,-,486,74.3
518Top 2.5%,West Virginia University,USA,132,-,348,-,506,74.3
519Top 2.5%,Rush University,USA,133,-,-,-,485,74.2
520Top 2.5%,Guangzhou Medical University,China,83,-,-,-,488,74.2
521Top 2.5%,Indian Institute of Science,India,2,352,1008,-,491,74.2
522Top 2.5%,Donghua University,China,84,-,1101,-,490,74.2
523Top 2.5%,Moscow Institute of Physics and Technology,Russia,5,166,616,284,535,74.2
524Top 2.5%,University of Catania,Italy,21,425,1624,-,492,74.2
525Top 2.5%,University of Tennessee Health Science Center,USA,134,-,-,-,494,74.2
526Top 2.5%,Kansas State University,USA,135,347,479,-,511,74.2
527Top 2.5%,University of Tartu,Estonia,1,499,-,-,496,74.2
528Top 2.5%,Baylor University,USA,136,-,419,-,514,74.2
529Top 2.5%,South China Normal University,China,85,-,1247,-,498,74.1
530Top 2.5%,Boston College,USA,137,-,99,-,645,74.1
531Top 2.5%,University of Ferrara,Italy,22,-,-,-,499,74.1
532Top 2.5%,Hohai University,China,86,-,1315,-,500,74.1
533Top 2.5%,Mahidol University,Thailand,2,-,1700,-,501,74.1
534Top 2.5%,NOVA University of Lisbon,Portugal,4,-,-,-,502,74.1
535Top 2.5%,ShanghaiTech University,China,87,-,-,-,503,74.1
536Top 2.5%,Polytechnic University of Valencia,Spain,13,-,1317,-,504,74.1
537Top 2.6%,Flinders University,Australia,22,503,-,-,507,74.1
538Top 2.6%,University of Tromsø – The Arctic University of Norway,Norway,4,-,1637,-,508,74.1
539Top 2.6%,Tianjin Medical University,China,88,-,-,-,509,74.0
540Top 2.6%,École normale supérieure de Lyon,France,26,213,-,279,544,74.0
541Top 2.6%,Lehigh University,USA,138,119,68,-,842,74.0
542Top 2.6%,South China Agricultural University,China,89,-,1723,-,510,74.0
543Top 2.6%,Central China Normal University,China,90,-,1205,-,512,74.0
544Top 2.6%,James Cook University,Australia,23,-,1284,-,515,74.0
545Top 2.6%,University College Cork,Ireland,3,-,629,-,523,74.0
546Top 2.6%,University of Verona,Italy,23,-,-,-,516,74.0
547Top 2.6%,University of Siena,Italy,24,-,1471,-,518,74.0
548Top 2.6%,Guangxi University,China,91,-,1712,-,519,74.0
549Top 2.6%,University of South Australia,Australia,24,-,512,-,528,73.9
550Top 2.6%,University of Hull,United Kingdom,38,163,365,135,764,73.9
551Top 2.6%,Technical University of Darmstadt,Germany,34,372,426,-,537,73.9
552Top 2.6%,Auburn University,USA,139,-,290,-,553,73.9
553Top 2.6%,University of Hawaii at Manoa,USA,140,416,1283,-,520,73.9
554Top 2.6%,Okayama University,Japan,14,358,767,-,525,73.9
555Top 2.6%,University of Stuttgart,Germany,35,133,431,-,584,73.9
556Top 2.6%,Leibniz University Hannover,Germany,36,-,602,-,529,73.9
557Top 2.6%,University of Pretoria,South Africa,5,-,694,-,526,73.9
558Top 2.6%,Carleton University,Canada,20,-,1435,-,521,73.9
559Top 2.7%,Masaryk University,Czech Republic,2,-,-,-,522,73.9
560Top 2.7%,University of Modena and Reggio Emilia,Italy,25,-,869,-,524,73.8
561Top 2.7%,Indian Institute of Technology Madras,India,3,-,172,-,589,73.8
562Top 2.7%,Indian Institute of Technology Bombay,India,4,-,278,-,560,73.8
563Top 2.7%,China University of Mining and Technology (Xuzhou),China,92,-,540,-,536,73.8
564Top 2.7%,Georgia State University,USA,141,-,794,-,531,73.8
565Top 2.7%,"China University of Geosciences, Beijing",China,93,-,1451,-,527,73.8
566Top 2.7%,Beijing University of Posts and Telecommunications,China,94,-,376,-,556,73.8
567Top 2.7%,Novosibirsk State University,Russia,6,422,1546,-,532,73.8
568Top 2.7%,National University of Defense Technology,China,95,-,1221,-,533,73.8
569Top 2.7%,University of Zaragoza,Spain,14,512,1170,-,534,73.8
570Top 2.7%,Polytechnic University of Madrid,Spain,15,546,516,-,546,73.8
571Top 2.7%,Nanjing University of Posts and Telecommunications,China,96,-,677,-,541,73.7
572Top 2.7%,Oklahoma State University,USA,142,-,544,-,550,73.7
573Top 2.7%,University of Bremen,Germany,37,-,-,-,538,73.7
574Top 2.7%,Swansea University,United Kingdom,39,-,1393,-,539,73.7
575Top 2.7%,Clemson University,USA,143,-,889,-,543,73.7
576Top 2.7%,Technical University of Dortmund,Germany,38,-,-,-,542,73.7
577Top 2.7%,Wenzhou Medical University,China,97,-,-,-,545,73.7
578Top 2.7%,Saint Petersburg University,Russia,7,141,444,-,599,73.7
579Top 2.7%,Shaanxi Normal University,China,98,-,-,-,549,73.7
580Top 2.8%,Medical University of Graz,Austria,5,-,-,-,551,73.7
581Top 2.8%,Tehran University of Medical Sciences,Iran,3,-,-,-,552,73.6
582Top 2.8%,Indian Institute of Technology Delhi,India,5,-,162,-,632,73.6
583Top 2.8%,Medical University of Innsbruck,Austria,6,-,-,-,554,73.6
584Top 2.8%,Mayo Clinic College of Medicine and Science,USA,144,-,-,-,557,73.6
585Top 2.8%,University of Konstanz,Germany,39,-,1388,221,647,73.6
586Top 2.8%,Indiana University Indianapolis,USA,145,-,-,-,558,73.6
587Top 2.8%,University of Arkansas - Fayetteville,USA,146,270,350,-,588,73.6
588Top 2.8%,Rovira i Virgili University,Spain,16,-,1401,-,559,73.6
589Top 2.8%,Anhui University,China,99,-,1132,-,561,73.6
590Top 2.8%,University of Szeged,Hungary,2,228,-,117,814,73.6
591Top 2.8%,Bar-Ilan University,Israel,6,-,615,-,571,73.6
592Top 2.8%,Antioch College,USA,147,11,-,-,-,73.5
593Top 2.8%,University of Oviedo,Spain,17,-,841,-,566,73.5
594Top 2.8%,University of Rostock,Germany,40,450,-,-,564,73.5
595Top 2.8%,Illinois Institute of Technology,USA,148,53,184,-,855,73.5
596Top 2.8%,Shandong University of Science and Technology,China,100,-,828,-,570,73.5
597Top 2.8%,Nanjing Forestry University,China,101,-,-,-,563,73.5
598Top 2.8%,China University of Petroleum (East China),China,102,-,578,-,577,73.5
599Top 2.8%,Naval Medical University,China,103,-,-,-,567,73.5
600Top 2.8%,Henan University,China,104,-,-,-,568,73.5
601Top 2.9%,University of Aveiro,Portugal,5,-,-,-,569,73.5
602Top 2.9%,Bocconi University,Italy,26,-,46,267,1068,73.5
603Top 2.9%,Chiba University,Japan,15,-,-,-,572,73.5
604Top 2.9%,"Northwest University, Xi'an",China,105,-,1068,-,574,73.4
605Top 2.9%,University of Franche-Comté,France,27,501,-,-,573,73.4
606Top 2.9%,Colorado School of Mines,USA,149,-,80,-,773,73.4
607Top 2.9%,University of Johannesburg,South Africa,6,-,1082,-,575,73.4
608Top 2.9%,Scuola Normale Superiore di Pisa,Italy,27,107,1077,254,702,73.4
609Top 2.9%,Ningbo University,China,106,-,1225,-,576,73.4
610Top 2.9%,Polytechnic University of Turin,Italy,28,-,903,-,580,73.4
611Top 2.9%,University of Palermo,Italy,29,-,-,-,578,73.4
612Top 2.9%,University of Brescia,Italy,30,-,-,-,579,73.4
613Top 2.9%,"Royal Holloway, University of London",United Kingdom,40,430,1197,227,664,73.4
614Top 2.9%,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,-,75,-,797,73.4
615Top 2.9%,Hitotsubashi University,Japan,16,-,20,-,-,73.3
616Top 2.9%,University of Canterbury,New Zealand,3,383,494,247,656,73.3
617Top 2.9%,Federal University of São Paulo,Brazil,7,-,-,-,583,73.3
618Top 2.9%,University of St.Gallen,Switzerland,9,-,27,-,1579,73.3
619Top 2.9%,Sejong University,South Korea,14,-,-,-,585,73.3
620Top 2.9%,Chung-Ang University,South Korea,15,-,967,-,586,73.3
621Top 2.9%,Ewha Womans University,South Korea,16,-,-,-,587,73.3
622Top 2.9%,University of Sherbrooke,Canada,21,-,958,-,590,73.3
623Top 3%,Loughborough University,United Kingdom,41,-,1649,286,600,73.3
624Top 3%,Osaka Metropolitan University,Japan,17,292,437,-,612,73.3
625Top 3%,San Diego State University,USA,150,217,475,-,621,73.3
626Top 3%,National Technical University of Athens,Greece,3,487,765,-,593,73.2
627Top 3%,AGH University of Science and Technology,Poland,3,-,846,-,592,73.2
628Top 3%,Brunel University London,United Kingdom,42,-,723,-,594,73.2
629Top 3%,Concordia University,Canada,22,561,383,-,616,73.2
630Top 3%,Guangzhou University,China,107,-,941,-,591,73.2
631Top 3%,University of Burgundy,France,28,179,1688,-,617,73.2
632Top 3%,University of Jyväskylä,Finland,7,-,1631,-,595,73.2
633Top 3%,Palacký University Olomouc,Czech Republic,3,-,-,-,596,73.2
634Top 3%,University of Salerno,Italy,31,-,1559,-,597,73.2
635Top 3%,University of Iceland,Iceland,1,-,-,-,598,73.2
636Top 3%,Delhi University,India,6,543,165,-,681,73.2
637Top 3%,University of La Laguna,Spain,18,-,-,-,601,73.2
638Top 3%,Chang Gung University,Taiwan,6,-,-,-,602,73.1
639Top 3%,Shanxi University,China,108,-,1703,-,603,73.1
640Top 3%,Gustave Eiffel University,France,29,447,-,-,605,73.1
641Top 3%,University of Minho,Portugal,6,-,-,-,604,73.1
642Top 3%,University of Graz,Austria,7,461,1276,162,780,73.1
643Top 3%,Harbin Medical University,China,109,-,-,-,606,73.1
644Top 3.1%,Tata Institute of Fundamental Research,India,7,-,-,-,607,73.1
645Top 3.1%,University of Nebraska Medical Center,USA,151,-,-,-,608,73.1
646Top 3.1%,COMSATS University Islamabad,Pakistan,1,-,-,-,609,73.1
647Top 3.1%,Shandong Normal University,China,110,-,-,-,610,73.1
648Top 3.1%,University of Cagliari,Italy,32,-,-,-,611,73.1
649Top 3.1%,University of Texas at Arlington,USA,152,-,785,-,619,73.1
650Top 3.1%,Joint Institute for Nuclear Research,Russia,8,-,-,-,613,73.0
651Top 3.1%,Chongqing Medical University,China,111,-,-,-,614,73.0
652Top 3.1%,Army Medical University,China,112,-,-,-,615,73.0
653Top 3.1%,Jeonbuk National University,South Korea,17,-,1654,-,618,73.0
654Top 3.1%,Catholic University of Korea,South Korea,18,-,-,-,620,73.0
655Top 3.1%,Beijing Forestry University,China,113,-,-,-,622,73.0
656Top 3.1%,Northeast Normal University,China,114,-,1365,-,623,73.0
657Top 3.1%,Rouen Normandy University,France,30,476,-,-,624,73.0
658Top 3.1%,Utah State University,USA,153,366,1075,-,628,73.0
659Top 3.1%,University of Campania Luigi Vanvitelli,Italy,33,-,-,-,626,73.0
660Top 3.1%,Rensselaer Polytechnic Institute,USA,154,459,146,-,731,73.0
661Top 3.1%,Hacettepe University,Turkey,1,-,-,-,627,73.0
662Top 3.1%,University of Jinan,China,115,-,1362,-,629,72.9
663Top 3.1%,Institut Mines-Télécom,France,31,-,-,-,630,72.9
664Top 3.1%,Brigham Young University,USA,155,325,739,-,636,72.9
665Top 3.1%,"China Medical University, PRC",China,116,-,-,-,631,72.9
666Top 3.2%,University of Caen Normandy,France,32,-,-,-,633,72.9
667Top 3.2%,University of Wisconsin–Milwaukee,USA,156,267,486,-,657,72.9
668Top 3.2%,Oswaldo Cruz Foundation,Brazil,8,-,-,-,634,72.9
669Top 3.2%,"Institute of Cancer Research, University of London",United Kingdom,43,272,-,-,642,72.9
670Top 3.2%,Semmelweis University,Hungary,3,-,-,-,635,72.9
671Top 3.2%,Memorial University of Newfoundland,Canada,23,-,900,-,638,72.9
672Top 3.2%,University of Málaga,Spain,19,-,-,-,637,72.9
673Top 3.2%,Qingdao University of Science and Technology,China,117,-,1347,-,639,72.9
674Top 3.2%,Bielefeld University,Germany,41,473,1514,-,640,72.8
675Top 3.2%,University of Angers,France,33,-,-,-,641,72.8
676Top 3.2%,Anhui Medical University,China,118,-,-,-,643,72.8
677Top 3.2%,Hong Kong Baptist University,China,119,-,1616,-,644,72.8
678Top 3.2%,University of Bayreuth,Germany,42,-,1175,-,646,72.8
679Top 3.2%,Swarthmore College,USA,157,20,289,-,-,72.8
680Top 3.2%,University of Québec at Montreal,Canada,24,-,935,-,648,72.8
681Top 3.2%,Yokohama City University,Japan,18,-,202,,716,72.8
682Top 3.2%,University of Fribourg,Switzerland,10,-,285,-,691,72.8
683Top 3.2%,National Central University,Taiwan,7,-,-,-,650,72.8
684Top 3.2%,University of Haifa,Israel,7,-,939,-,652,72.8
685Top 3.2%,National Research Nuclear University MEPhI,Russia,9,477,-,-,651,72.8
686Top 3.2%,Fujian Agriculture and Forestry University,China,120,-,-,-,653,72.8
687Top 3.3%,University of Shanghai for Science and Technology,China,121,-,-,-,654,72.7
688Top 3.3%,Harbin Engineering University,China,122,-,1745,-,655,72.7
689Top 3.3%,Indian Institute of Technology Kharagpur,India,8,-,549,-,672,72.7
690Top 3.3%,Saarland University,Germany,43,513,493,-,675,72.7
691Top 3.3%,Czech Technical University in Prague,Czech Republic,4,415,-,-,660,72.7
692Top 3.3%,Air Force Medical University,China,123,-,-,-,658,72.7
693Top 3.3%,Yeungnam University,South Korea,19,-,424,,680,72.7
694Top 3.3%,Kunming University of Science and Technology,China,124,-,-,-,659,72.7
695Top 3.3%,University of Kent,United Kingdom,44,-,880,-,668,72.7
696Top 3.3%,Shandong First Medical University,China,125,-,-,-,661,72.7
697Top 3.3%,Sharif University of Technology,Iran,4,424,-,-,663,72.7
698Top 3.3%,Konkuk University,South Korea,20,-,1209,-,667,72.7
699Top 3.3%,University of Texas Medical Branch,USA,158,-,-,-,662,72.6
700Top 3.3%,University of Udine,Italy,34,-,1430,-,665,72.6
701Top 3.3%,University of Western Brittany,France,34,-,-,-,666,72.6
702Top 3.3%,Istanbul University,Turkey,2,446,1087,-,671,72.6
703Top 3.3%,Sciences Po,France,35,-,60,73,-,72.6
704Top 3.3%,China University of Petroleum-Beijing,China,126,-,676,-,673,72.6
705Top 3.3%,Chungnam National University,South Korea,21,-,1481,-,669,72.6
706Top 3.3%,"University of Nevada, Reno",USA,159,-,1299,-,670,72.6
707Top 3.3%,University of Galway,Ireland,4,254,1662,-,679,72.6
708Top 3.3%,University of New Hampshire,USA,160,-,464,-,692,72.6
709Top 3.4%,Middle East Technical University,Turkey,3,-,245,-,727,72.6
710Top 3.4%,University of Missouri-Kansas City,USA,161,475,497,-,688,72.6
711Top 3.4%,University of Poitiers,France,36,340,-,-,678,72.6
712Top 3.4%,University of Cantabria,Spain,20,-,1633,-,674,72.5
713Top 3.4%,Binghamton University,USA,162,320,333,161,932,72.5
714Top 3.4%,Henan Normal University,China,127,-,-,-,676,72.5
715Top 3.4%,College of William & Mary,USA,163,-,114,-,849,72.5
716Top 3.4%,University of Eastern Piedmont,Italy,35,-,-,-,677,72.5
717Top 3.4%,Ankara University,Turkey,4,-,938,-,682,72.5
718Top 3.4%,University of North Texas,USA,164,-,680,-,686,72.5
719Top 3.4%,Victoria University of Wellington,New Zealand,4,397,861,-,685,72.5
720Top 3.4%,Taipei Medical University,Taiwan,8,-,-,-,683,72.5
721Top 3.4%,Mississippi State University,USA,165,321,429,-,711,72.5
722Top 3.4%,University of Texas at San Antonio,USA,166,-,-,-,684,72.5
723Top 3.4%,National Chung Hsing University,Taiwan,9,-,176,-,777,72.5
724Top 3.4%,China Pharmaceutical University,China,128,-,1089,-,687,72.5
725Top 3.4%,Yanshan University,China,129,-,1118,,689,72.4
726Top 3.4%,Zhejiang Normal University,China,130,-,-,,690,72.4
727Top 3.4%,Federal University of Santa Catarina,Brazil,9,-,1314,-,693,72.4
728Top 3.4%,Inha University,South Korea,22,-,734,-,697,72.4
729Top 3.4%,Hainan University,China,131,-,-,-,694,72.4
730Top 3.5%,National Polytechnic Institute,Mexico,2,-,-,-,695,72.4
731Top 3.5%,University of Maine,USA,167,349,1137,134,957,72.4
732Top 3.5%,Institut national des sciences appliquées de Lyon,France,37,-,1140,-,696,72.4
733Top 3.5%,Tilburg University,Netherlands,13,-,463,-,718,72.4
734Top 3.5%,Loyola University Chicago,USA,168,376,1000,-,701,72.4
735Top 3.5%,Heriot-Watt University,United Kingdom,45,-,519,-,715,72.4
736Top 3.5%,Academy of Scientific & Innovative Research,India,9,-,-,-,698,72.4
737Top 3.5%,Roma Tre University,Italy,36,-,-,-,699,72.4
738Top 3.5%,National Research University Higher School of Economics,Russia,10,-,-,-,700,72.3
739Top 3.5%,Comenius University Bratislava,Slovak Republic,1,-,-,-,703,72.3
740Top 3.5%,Ain Shams University,Egypt,2,-,-,-,704,72.3
741Top 3.5%,Shinshu University,Japan,19,-,1604,-,705,72.3
742Top 3.5%,University of Salamanca,Spain,21,-,904,-,709,72.3
743Top 3.5%,Fujian Medical University,China,132,-,-,-,706,72.3
744Top 3.5%,Yunnan University,China,133,-,1694,,707,72.3
745Top 3.5%,Hangzhou Normal University,China,134,-,1680,-,708,72.3
746Top 3.5%,American University of Beirut,Lebanon,1,178,211,-,808,72.3
747Top 3.5%,University of Massachusetts Boston,USA,169,-,1335,197,875,72.3
748Top 3.5%,Vilnius University,Lithuania,1,-,-,-,710,72.3
749Top 3.5%,Kanazawa University,Japan,20,-,638,-,725,72.3
750Top 3.5%,BOKU University,Austria,8,-,-,-,712,72.3
751Top 3.5%,Otto von Guericke University Magdeburg,Germany,44,-,1410,-,714,72.3
752Top 3.6%,National University of La Plata,Argentina,2,-,1593,-,713,72.2
753Top 3.6%,Massey University,New Zealand,5,-,882,-,721,72.2
754Top 3.6%,Warsaw University of Technology,Poland,4,305,856,-,726,72.2
755Top 3.6%,University of Plymouth,United Kingdom,46,-,1663,-,717,72.2
756Top 3.6%,Taiyuan University of Technology,China,135,-,1477,-,719,72.2
757Top 3.6%,University of Murcia,Spain,22,-,-,-,720,72.2
758Top 3.6%,Ajou University,South Korea,23,-,1224,-,724,72.2
759Top 3.6%,Hunan Normal University,China,136,-,-,-,723,72.2
760Top 3.6%,Haverford College,USA,170,23,979,-,-,72.2
761Top 3.6%,Northumbria University,United Kingdom,47,-,842,-,728,72.2
762Top 3.6%,Boğaziçi University,Turkey,5,-,428,-,747,72.2
763Top 3.6%,Macau University of Science and Technology,China,137,-,685,-,734,72.2
764Top 3.6%,University of Wyoming,USA,171,-,779,-,733,72.2
765Top 3.6%,Hebei University of Technology,China,138,-,1328,-,729,72.1
